Case,C,E,P,Flight_Mod,P_final,SOP,NHP,Posterior_NH,Posterior_Mean,CI_2.5%,CI_97.5%
USS Nimitiz 2004,0.9,0.84,0.9,0.05,0.95,0.88,0.9,0.45,0.488,0.398,0.573
Falcon Lake 1967,0.63,0.72,0.55,0.02,0.57,0.63,0.64,0.25,0.257,0.2,0.32
Belgian UFO Wave,0.9,0.52,0.88,0.05,0.93,0.78,0.8,0.36,0.389,0.313,0.463
Kelly-Hopkinsville 1955,0.6,0.55,0.4,0.04,0.44,0.53,0.54,0.19,0.208,0.16,0.26
Tehran 1976 UFO,0.9,0.82,0.97,0.05,0.95,0.9,0.89,0.43,0.505,0.413,0.591
Phoenix Lights 1997 1st event,0.87,0.9,0.4,0.04,0.44,0.74,0.75,0.32,0.345,0.274,0.417
USS Theodore Roosevelt 2014,0.9,0.87,0.78,0.05,0.83,0.85,0.87,0.42,0.459,0.372,0.543
Shag Harbour 1967,0.83,0.75,0.55,0.04,0.59,0.72,0.73,0.31,0.333,0.262,0.407
Rendlesham Forrest 1980,0.87,0.8,0.55,0.05,0.6,0.75,0.77,0.34,0.366,0.295,0.44
Socorro UFO Incident 1964,0.65,0.82,0.79,0.04,0.83,0.74,0.76,0.33,0.349,0.28,0.424
