Case,C,E,P,Flight_Mod,P_final,SOP,NHP,Posterior_NH,Posterior_Mean,CI_2.5%,CI_97.5%
USS Nimitz - 2004,0.9,0.84,0.9,0.05,0.95,0.88,0.9,0.45,0.488,0.399,0.574
Falcon Lake - 1967,0.63,0.72,0.55,0.02,0.57,0.63,0.64,0.25,0.257,0.202,0.318
Belgian UFO Wave - 1989,0.9,0.52,0.88,0.05,0.93,0.78,0.8,0.36,0.39,0.313,0.465
Kelly-Hopkinsville - 1955,0.6,0.55,0.4,0.04,0.44,0.53,0.54,0.19,0.209,0.16,0.262
Tehran UFO - 1976,0.9,0.82,0.97,0.05,0.95,0.9,0.89,0.43,0.506,0.415,0.587
Phoenix Lights 1st even - 1997,0.87,0.9,0.4,0.04,0.44,0.74,0.75,0.32,0.346,0.273,0.42
USS Theodore Roosevelt - 2014,0.9,0.87,0.78,0.05,0.83,0.85,0.87,0.42,0.46,0.377,0.543
Shag Harbour - 1967,0.83,0.75,0.55,0.04,0.59,0.72,0.73,0.31,0.333,0.261,0.408
Rendlesham Forest - 1980,0.87,0.8,0.55,0.05,0.6,0.75,0.77,0.34,0.367,0.295,0.442
Socorro UFO Incident - 1964,0.65,0.82,0.79,0.04,0.83,0.74,0.76,0.33,0.35,0.278,0.425
USS Omaha - 2019,0.9,0.84,0.88,0.05,0.93,0.88,0.89,0.43,0.482,0.395,0.565
Lakenheath-Bentwaters - 1956,0.85,0.81,0.8,0.05,0.85,0.82,0.84,0.4,0.429,0.349,0.508
Coyne Helicopter Encounter - 1973,0.83,0.7,0.55,0.04,0.59,0.71,0.72,0.3,0.323,0.256,0.395
Stephenville UFO - 2008,0.7,0.8,0.8,0.05,0.85,0.76,0.78,0.35,0.373,0.3,0.449
Japan Airlines 1628 - 1986,0.8,0.8,0.6,0.05,0.65,0.74,0.76,0.33,0.356,0.285,0.43
Chicago O'Hare Airport - 2006,0.87,0.77,0.6,0.05,0.65,0.76,0.77,0.34,0.371,0.296,0.448
"Washington DC Flap - Wave 1 (July 19-20, 1952)",0.77,0.6,0.55,0.05,0.6,0.65,0.67,0.27,0.292,0.231,0.359
Morristown NJ UFO - 2009,0.62,0.85,0.55,0.02,0.57,0.67,0.67,0.27,0.279,0.22,0.345
Kaikoura Lights - 1978,0.8,0.8,0.55,0.04,0.59,0.73,0.74,0.31,0.336,0.266,0.406
Travis Walton UFO - 1975,0.67,0.8,0.4,0.05,0.45,0.63,0.64,0.25,0.276,0.216,0.342
Virginia Capes Cube-in-Sphere - 2014,0.85,0.78,0.75,0.04,0.79,0.8,0.81,0.37,0.397,0.319,0.475
Yemen MQ-9 Orb - 2024,0.85,0.87,0.95,0.05,0.95,0.89,0.89,0.43,0.494,0.408,0.577
Westall UFO Incident - 1966,0.7,0.83,0.42,0.05,0.47,0.65,0.67,0.27,0.294,0.232,0.361
Exeter UFO Incident - 1965,0.77,0.73,0.42,0.05,0.47,0.65,0.67,0.27,0.292,0.229,0.358
Levelland UFO Incident - 1957,0.82,0.75,0.45,0.05,0.5,0.69,0.7,0.28,0.317,0.252,0.384
Voronezh UFO Sighting - 1989,0.67,0.73,0.54,0.04,0.58,0.65,0.66,0.26,0.282,0.223,0.348
Northern Italy Air Force - 1981,0.8,0.73,0.55,0.05,0.6,0.7,0.72,0.3,0.328,0.261,0.402
Nuremberg Bavaria Radar UFO Case - 1980,0.78,0.71,0.65,0.04,0.69,0.72,0.73,0.31,0.331,0.265,0.402
Kenneth Arnold - 1947,0.62,0.72,0.4,0.05,0.45,0.58,0.6,0.22,0.248,0.193,0.308
Cash-Landrum UFO - 1980,0.63,0.7,0.55,0.02,0.57,0.63,0.63,0.24,0.254,0.196,0.317
Aguadilla UFO - 2013 (SCU),0.9,0.78,0.88,0.04,0.92,0.86,0.87,0.42,0.451,0.367,0.534
USS Theodore Roosevelt Gimbal - 2015,0.83,0.78,0.9,0.04,0.94,0.84,0.85,0.4,0.43,0.351,0.509
USS Theodore Roosevelt GoFast - 2015,0.84,0.83,0.9,0.04,0.94,0.85,0.87,0.42,0.448,0.367,0.53
Alderney UFO Sighting - 2007,0.81,0.72,0.6,0.02,0.62,0.72,0.73,0.31,0.315,0.251,0.384
Manises UFO Incident - 1979,0.88,0.85,0.8,0.05,0.85,0.85,0.86,0.41,0.452,0.368,0.535
RB-47 UFO - 1957,0.85,0.77,0.83,0.05,0.88,0.82,0.83,0.39,0.426,0.344,0.508
Minot AFB UFO - 1968,0.84,0.72,0.93,0.05,0.95,0.83,0.84,0.39,0.436,0.353,0.516
Lubbock Lights - 1951,0.8,0.62,0.55,0.0,0.55,0.67,0.67,0.27,0.267,0.21,0.33
Arequipa La Joya Peru - 1980,0.63,0.7,0.55,0.04,0.59,0.63,0.64,0.25,0.268,0.211,0.329
AARO PR-017 Europe - 2024,0.7,0.85,0.55,0.0,0.55,0.7,0.7,0.28,0.285,0.224,0.35
Trans-en-Provence UAP - 1981,0.4,0.82,0.55,0.05,0.6,0.57,0.59,0.22,0.24,0.187,0.299
"Washington DC Flap - Wave 2 (July 26-27, 1952)",0.9,0.67,0.78,0.05,0.83,0.8,0.81,0.37,0.403,0.323,0.483
Calvine UFO Incident - 1990,0.65,0.67,0.55,0.0,0.55,0.63,0.63,0.24,0.239,0.186,0.301
Kinross Incident - 1953,0.82,0.7,0.82,0.05,0.87,0.78,0.8,0.36,0.393,0.318,0.471
West Freugh Incident - 1957,0.8,0.82,0.85,0.05,0.9,0.82,0.84,0.4,0.427,0.345,0.511
Ellsworth AFB - 1953,0.88,0.62,0.83,0.05,0.88,0.79,0.8,0.36,0.396,0.319,0.477
Kandahar Jellyfish UAP - 2017,0.6,0.51,0.55,0.0,0.55,0.56,0.56,0.2,0.202,0.155,0.253
Tucson Rubber Duck UAP - 2019,0.78,0.52,0.58,0.05,0.63,0.64,0.66,0.26,0.285,0.226,0.349
Campeche UAP Incident - 2004,0.75,0.67,0.6,0.04,0.64,0.68,0.69,0.28,0.304,0.241,0.374
Ariel School UFO - 1994,0.7,0.85,0.4,0.05,0.45,0.65,0.67,0.27,0.294,0.23,0.362
